"contrast","score","method","score_disorder","threshold","n_case","n_control","mean_case","mean_control","mean_diff","cohen_d"
"MDD_vs_Control","BPD_BIP_2024.EUR_pgs_a0.5_b5e-08","GraphPred_score","BPD","GraphPred",39,40,-0.516384808974359,-0.51983934525,0.00345453627564096,0.0114107144147451
"MDD_vs_Control","MDD_MDD_2025_pgs_a0.5_b2e-08","GraphPred_score","MDD","GraphPred",39,40,-0.0561060261538462,-0.10090078925,0.0447947630961538,0.267444368648861
"MDD_vs_Control","SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07","GraphPred_score","SCZD","GraphPred",39,40,-1.16731276153846,-1.2139170125,0.0466042509615385,0.0729478605069568
"MDD_vs_Control","PRSice_BPD_Pt_5e-08","PRSice","BPD","5e-08",39,40,-0.211071064260769,-0.2024821965925,-0.00858886766826925,-0.0125344339049045
"MDD_vs_Control","PRSice_BPD_Pt_1e-06","PRSice","BPD","1e-06",39,40,-1.00804435578462,-0.8288768435575,-0.179167512227115,-0.196728829312539
"MDD_vs_Control","PRSice_BPD_Pt_0.0001","PRSice","BPD","0.0001",39,40,1.67919430610256,2.07515523148,-0.395960925377436,-0.28528725313342
"MDD_vs_Control","PRSice_BPD_Pt_0.001","PRSice","BPD","0.001",39,40,1.79814852661538,2.2008285042,-0.402679977584615,-0.199738071585823
"MDD_vs_Control","PRSice_BPD_Pt_0.01","PRSice","BPD","0.01",39,40,-3.10564307964103,-2.6479763888625,-0.457666690778526,-0.134228359177636
"MDD_vs_Control","PRSice_BPD_Pt_0.05","PRSice","BPD","0.05",39,40,-3.58601341333333,-3.042324349675,-0.543689063658333,-0.108743062646119
"MDD_vs_Control","PRSice_BPD_Pt_0.1","PRSice","BPD","0.1",39,40,-4.43594666884359,-3.8847367257,-0.55120994314359,-0.0987952916065181
"MDD_vs_Control","PRSice_BPD_Pt_0.5","PRSice","BPD","0.5",39,40,-9.80822502141026,-9.65945937095,-0.148765650460257,-0.0219795319685147
"MDD_vs_Control","PRSice_BPD_Pt_1","PRSice","BPD","1",39,40,-8.84668703585385,-8.738782979775,-0.107904056078846,-0.0156589292949306
"MDD_vs_Control","PRSice_MDD_Pt_5e-08","PRSice","MDD","5e-08",39,40,-0.0281394463953846,-0.0831602277,0.0550207813046154,0.11144137854733
"MDD_vs_Control","PRSice_MDD_Pt_1e-06","PRSice","MDD","1e-06",39,40,-0.179076910095641,-0.234321826781,0.055244916685359,0.0967107067152854
"MDD_vs_Control","PRSice_MDD_Pt_0.0001","PRSice","MDD","0.0001",39,40,0.405754168169231,0.3470188164475,0.0587353517217308,0.0691730709263603
"MDD_vs_Control","PRSice_MDD_Pt_0.001","PRSice","MDD","0.001",39,40,1.49738253645897,1.478610768515,0.0187717679439743,0.016087494278233
"MDD_vs_Control","PRSice_MDD_Pt_0.01","PRSice","MDD","0.01",39,40,1.03575058144256,0.929672100575,0.106078480867564,0.0655217020661936
"MDD_vs_Control","PRSice_MDD_Pt_0.05","PRSice","MDD","0.05",39,40,0.059622279935641,0.010362904762,0.049259375173641,0.024244574189063
"MDD_vs_Control","PRSice_MDD_Pt_0.1","PRSice","MDD","0.1",39,40,-1.32952354091795,-1.1542840170325,-0.175239523885449,-0.0767072169110244
"MDD_vs_Control","PRSice_MDD_Pt_0.5","PRSice","MDD","0.5",39,40,-4.67334767310256,-4.449327285425,-0.224020387677564,-0.0815703988068532
"MDD_vs_Control","PRSice_MDD_Pt_1","PRSice","MDD","1",39,40,-4.56405529579487,-4.2638338737,-0.300221422094872,-0.105848067999944
"MDD_vs_Control","PRSice_SCZD_Pt_5e-08","PRSice","SCZD","5e-08",39,40,-1.11840280458462,-0.866646411125,-0.251756393459615,-0.103869541951168
"MDD_vs_Control","PRSice_SCZD_Pt_1e-06","PRSice","SCZD","1e-06",39,40,-1.60732249181559,-1.412408243515,-0.19491424830059,-0.074805104750586
"MDD_vs_Control","PRSice_SCZD_Pt_0.0001","PRSice","SCZD","0.0001",39,40,-3.32889209950282,-3.41174086926625,0.0828487697634297,0.0262851223848211
"MDD_vs_Control","PRSice_SCZD_Pt_0.001","PRSice","SCZD","0.001",39,40,-3.71280044939744,-3.8620962424425,0.149295793045064,0.0378723549133186
"MDD_vs_Control","PRSice_SCZD_Pt_0.01","PRSice","SCZD","0.01",39,40,-2.68517596181538,-3.9436394103,1.25846344848462,0.234247176123141
"MDD_vs_Control","PRSice_SCZD_Pt_0.05","PRSice","SCZD","0.05",39,40,-8.45102216769231,-9.687967255025,1.23694508733269,0.19820035174744
"MDD_vs_Control","PRSice_SCZD_Pt_0.1","PRSice","SCZD","0.1",39,40,-14.3500236780462,-16.26991523125,1.91989155320385,0.278589930102523
"MDD_vs_Control","PRSice_SCZD_Pt_0.5","PRSice","SCZD","0.5",39,40,-16.7486970187179,-17.45061559275,0.701918574032053,0.0895011022170201
"MDD_vs_Control","PRSice_SCZD_Pt_1","PRSice","SCZD","1",39,40,-16.6136067819487,-17.4227162085,0.809109426551281,0.102634020857128
"BPD_vs_Control","BPD_BIP_2024.EUR_pgs_a0.5_b5e-08","GraphPred_score","BPD","GraphPred",40,40,-0.3871983525,-0.51983934525,0.13264099275,0.468380312728952
"BPD_vs_Control","MDD_MDD_2025_pgs_a0.5_b2e-08","GraphPred_score","MDD","GraphPred",40,40,0.012753085075,-0.10090078925,0.113653874325,0.687958410454021
"BPD_vs_Control","SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07","GraphPred_score","SCZD","GraphPred",40,40,-0.82987354,-1.2139170125,0.3840434725,0.623706230964964
"BPD_vs_Control","PRSice_BPD_Pt_5e-08","PRSice","BPD","5e-08",40,40,0.06383487001,-0.2024821965925,0.2663170666025,0.521166872503025
"BPD_vs_Control","PRSice_BPD_Pt_1e-06","PRSice","BPD","1e-06",40,40,-0.4668338777575,-0.8288768435575,0.3620429658,0.500819307262573
"BPD_vs_Control","PRSice_BPD_Pt_0.0001","PRSice","BPD","0.0001",40,40,2.523047458265,2.07515523148,0.447892226785,0.36963187204768
"BPD_vs_Control","PRSice_BPD_Pt_0.001","PRSice","BPD","0.001",40,40,2.7897811310775,2.2008285042,0.5889526268775,0.292082329511642
"BPD_vs_Control","PRSice_BPD_Pt_0.01","PRSice","BPD","0.01",40,40,-1.876864900375,-2.6479763888625,0.7711114884875,0.222706670837091
"BPD_vs_Control","PRSice_BPD_Pt_0.05","PRSice","BPD","0.05",40,40,-1.5574554425,-3.042324349675,1.484868907175,0.293440956742729
"BPD_vs_Control","PRSice_BPD_Pt_0.1","PRSice","BPD","0.1",40,40,-1.48510418675,-3.8847367257,2.39963253895,0.414991058439621
"BPD_vs_Control","PRSice_BPD_Pt_0.5","PRSice","BPD","0.5",40,40,-7.1477638546425,-9.65945937095,2.5116955163075,0.36702852259406
"BPD_vs_Control","PRSice_BPD_Pt_1","PRSice","BPD","1",40,40,-6.1189193493625,-8.738782979775,2.6198636304125,0.37562664497563
"BPD_vs_Control","PRSice_MDD_Pt_5e-08","PRSice","MDD","5e-08",40,40,0.0325969442281,-0.0831602277,0.1157571719281,0.286682036163428
"BPD_vs_Control","PRSice_MDD_Pt_1e-06","PRSice","MDD","1e-06",40,40,0.01265584507025,-0.234321826781,0.24697767185125,0.510901287627272
"BPD_vs_Control","PRSice_MDD_Pt_0.0001","PRSice","MDD","0.0001",40,40,0.84529417204,0.3470188164475,0.4982753555925,0.640349261114293
"BPD_vs_Control","PRSice_MDD_Pt_0.001","PRSice","MDD","0.001",40,40,1.96032792725,1.478610768515,0.481717158735,0.475136060765315
"BPD_vs_Control","PRSice_MDD_Pt_0.01","PRSice","MDD","0.01",40,40,1.650039557835,0.929672100575,0.72036745726,0.481212068297555
"BPD_vs_Control","PRSice_MDD_Pt_0.05","PRSice","MDD","0.05",40,40,0.9691977426325,0.010362904762,0.9588348378705,0.501708281439101
"BPD_vs_Control","PRSice_MDD_Pt_0.1","PRSice","MDD","0.1",40,40,0.0525885475,-1.1542840170325,1.2068725645325,0.582557203529329
"BPD_vs_Control","PRSice_MDD_Pt_0.5","PRSice","MDD","0.5",40,40,-3.097153058,-4.449327285425,1.352174227425,0.515663118657481
"BPD_vs_Control","PRSice_MDD_Pt_1","PRSice","MDD","1",40,40,-3.042144797375,-4.2638338737,1.221689076325,0.455756645583365
"BPD_vs_Control","PRSice_SCZD_Pt_5e-08","PRSice","SCZD","5e-08",40,40,0.00162031208249999,-0.866646411125,0.8682667232075,0.497914501058801
"BPD_vs_Control","PRSice_SCZD_Pt_1e-06","PRSice","SCZD","1e-06",40,40,-0.38060883235,-1.412408243515,1.031799411165,0.522372535296143
"BPD_vs_Control","PRSice_SCZD_Pt_0.0001","PRSice","SCZD","0.0001",40,40,-1.8787888680925,-3.41174086926625,1.53295200117375,0.606364871121103
"BPD_vs_Control","PRSice_SCZD_Pt_0.001","PRSice","SCZD","0.001",40,40,-1.795229469555,-3.8620962424425,2.0668667728875,0.598041427106369
"BPD_vs_Control","PRSice_SCZD_Pt_0.01","PRSice","SCZD","0.01",40,40,-1.5343268379375,-3.9436394103,2.4093125723625,0.482398858433931
"BPD_vs_Control","PRSice_SCZD_Pt_0.05","PRSice","SCZD","0.05",40,40,-5.528709265975,-9.687967255025,4.15925798905,0.677948319296997
"BPD_vs_Control","PRSice_SCZD_Pt_0.1","PRSice","SCZD","0.1",40,40,-11.950451928825,-16.26991523125,4.319463302425,0.628806864238549
"BPD_vs_Control","PRSice_SCZD_Pt_0.5","PRSice","SCZD","0.5",40,40,-13.98977098775,-17.45061559275,3.460844605,0.421567850951909
"BPD_vs_Control","PRSice_SCZD_Pt_1","PRSice","SCZD","1",40,40,-13.792484921,-17.4227162085,3.6302312875,0.432092579400677
"CaseUnion_vs_Control","BPD_BIP_2024.EUR_pgs_a0.5_b5e-08","GraphPred_score","BPD","GraphPred",79,40,-0.450973944936709,-0.51983934525,0.0688654003132911,0.229836198108688
"CaseUnion_vs_Control","MDD_MDD_2025_pgs_a0.5_b2e-08","GraphPred_score","MDD","GraphPred",79,40,-0.0212406533797468,-0.10090078925,0.0796601358702532,0.467783208740486
"CaseUnion_vs_Control","SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07","GraphPred_score","SCZD","GraphPred",79,40,-0.996457459493671,-1.2139170125,0.217459553006329,0.340750103729926
"CaseUnion_vs_Control","PRSice_BPD_Pt_5e-08","PRSice","BPD","5e-08",79,40,-0.0718781861489873,-0.2024821965925,0.130604010443513,0.212874483862399
"CaseUnion_vs_Control","PRSice_BPD_Pt_1e-06","PRSice","BPD","1e-06",79,40,-0.734013733998734,-0.8288768435575,0.0948631095587659,0.111201166919554
"CaseUnion_vs_Control","PRSice_BPD_Pt_0.0001","PRSice","BPD","0.0001",79,40,2.10646172491899,2.07515523148,0.0313064934389873,0.0227958585150041
"CaseUnion_vs_Control","PRSice_BPD_Pt_0.001","PRSice","BPD","0.001",79,40,2.30024098457089,2.2008285042,0.0994124803708862,0.0466023298694208
"CaseUnion_vs_Control","PRSice_BPD_Pt_0.01","PRSice","BPD","0.01",79,40,-2.48347691292405,-2.6479763888625,0.164499475938449,0.0475919122361441
"CaseUnion_vs_Control","PRSice_BPD_Pt_0.05","PRSice","BPD","0.05",79,40,-2.55889545341772,-3.042324349675,0.483428896257278,0.0947293339307215
"CaseUnion_vs_Control","PRSice_BPD_Pt_0.1","PRSice","BPD","0.1",79,40,-2.9418492095557,-3.8847367257,0.942887516144304,0.164917199623696
"CaseUnion_vs_Control","PRSice_BPD_Pt_0.5","PRSice","BPD","0.5",79,40,-8.46115607621139,-9.65945937095,1.19830329473861,0.176951124024327
"CaseUnion_vs_Control","PRSice_BPD_Pt_1","PRSice","BPD","1",79,40,-7.46553884016202,-8.738782979775,1.27324413961297,0.184475252528256
"CaseUnion_vs_Control","PRSice_MDD_Pt_5e-08","PRSice","MDD","5e-08",79,40,0.00261315645194937,-0.0831602277,0.0857733841519494,0.199127129417422
"CaseUnion_vs_Control","PRSice_MDD_Pt_1e-06","PRSice","MDD","1e-06",79,40,-0.0819970340622785,-0.234321826781,0.152324792718722,0.29924185379785
"CaseUnion_vs_Control","PRSice_MDD_Pt_0.0001","PRSice","MDD","0.0001",79,40,0.628306068863291,0.3470188164475,0.281287252415791,0.346409590188132
"CaseUnion_vs_Control","PRSice_MDD_Pt_0.001","PRSice","MDD","0.001",79,40,1.73178526597342,1.478610768515,0.253174497458418,0.228512252896935
"CaseUnion_vs_Control","PRSice_MDD_Pt_0.01","PRSice","MDD","0.01",79,40,1.34678297455266,0.929672100575,0.417110873977658,0.262909212420848
"CaseUnion_vs_Control","PRSice_MDD_Pt_0.05","PRSice","MDD","0.05",79,40,0.52016681801,0.010362904762,0.509803913248,0.255859122096399
"CaseUnion_vs_Control","PRSice_MDD_Pt_0.1","PRSice","MDD","0.1",79,40,-0.62971995184557,-1.1542840170325,0.52456406518693,0.235027307814272
"CaseUnion_vs_Control","PRSice_MDD_Pt_0.5","PRSice","MDD","0.5",79,40,-3.87527445026582,-4.449327285425,0.574052835159177,0.212666713795565
"CaseUnion_vs_Control","PRSice_MDD_Pt_1","PRSice","MDD","1",79,40,-3.79346770165823,-4.2638338737,0.470366172041773,0.170542852879261
"CaseUnion_vs_Control","PRSice_SCZD_Pt_5e-08","PRSice","SCZD","5e-08",79,40,-0.551302492348101,-0.866646411125,0.315343918776899,0.147157770310241
"CaseUnion_vs_Control","PRSice_SCZD_Pt_1e-06","PRSice","SCZD","1e-06",79,40,-0.986201651579848,-1.412408243515,0.426206591935152,0.181851319824832
"CaseUnion_vs_Control","PRSice_SCZD_Pt_0.0001","PRSice","SCZD","0.0001",79,40,-2.59466261524443,-3.41174086926625,0.81707825402182,0.285308575649751
"CaseUnion_vs_Control","PRSice_SCZD_Pt_0.001","PRSice","SCZD","0.001",79,40,-2.74187843428734,-3.8620962424425,1.12021780815516,0.305777525466158
"CaseUnion_vs_Control","PRSice_SCZD_Pt_0.01","PRSice","SCZD","0.01",79,40,-2.10246754466203,-3.9436394103,1.84117186563797,0.360280348487549
"CaseUnion_vs_Control","PRSice_SCZD_Pt_0.05","PRSice","SCZD","0.05",79,40,-6.97137006555696,-9.687967255025,2.71659718946804,0.43361615693422
"CaseUnion_vs_Control","PRSice_SCZD_Pt_0.1","PRSice","SCZD","0.1",79,40,-13.1350506404658,-16.26991523125,3.13486459078418,0.457310443823775
"CaseUnion_vs_Control","PRSice_SCZD_Pt_0.5","PRSice","SCZD","0.5",79,40,-15.3517724460759,-17.45061559275,2.09884314667405,0.253635712464882
"CaseUnion_vs_Control","PRSice_SCZD_Pt_1","PRSice","SCZD","1",79,40,-15.1851906498228,-17.4227162085,2.23752555867721,0.266426605761559
"BPD_vs_MDD","BPD_BIP_2024.EUR_pgs_a0.5_b5e-08","GraphPred_score","BPD","GraphPred",40,39,-0.3871983525,-0.516384808974359,0.129186456474359,0.427367077473878
"BPD_vs_MDD","MDD_MDD_2025_pgs_a0.5_b2e-08","GraphPred_score","MDD","GraphPred",40,39,0.012753085075,-0.0561060261538462,0.0688591112288462,0.397582712102457
"BPD_vs_MDD","SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07","GraphPred_score","SCZD","GraphPred",40,39,-0.82987354,-1.16731276153846,0.337439221538462,0.542381752401733
"BPD_vs_MDD","PRSice_BPD_Pt_5e-08","PRSice","BPD","5e-08",40,39,0.06383487001,-0.211071064260769,0.274905934270769,0.451270443641138
"BPD_vs_MDD","PRSice_BPD_Pt_1e-06","PRSice","BPD","1e-06",40,39,-0.4668338777575,-1.00804435578462,0.541210478027115,0.645704640763344
"BPD_vs_MDD","PRSice_BPD_Pt_0.0001","PRSice","BPD","0.0001",40,39,2.523047458265,1.67919430610256,0.843853152162436,0.603873052356477
"BPD_vs_MDD","PRSice_BPD_Pt_0.001","PRSice","BPD","0.001",40,39,2.7897811310775,1.79814852661538,0.991632604462115,0.437321826879904
"BPD_vs_MDD","PRSice_BPD_Pt_0.01","PRSice","BPD","0.01",40,39,-1.876864900375,-3.10564307964103,1.22877817926603,0.358279081053495
"BPD_vs_MDD","PRSice_BPD_Pt_0.05","PRSice","BPD","0.05",40,39,-1.5574554425,-3.58601341333333,2.02855797083333,0.397083219528855
"BPD_vs_MDD","PRSice_BPD_Pt_0.1","PRSice","BPD","0.1",40,39,-1.48510418675,-4.43594666884359,2.95084248209359,0.539895737359674
"BPD_vs_MDD","PRSice_BPD_Pt_0.5","PRSice","BPD","0.5",40,39,-7.1477638546425,-9.80822502141026,2.66046116676776,0.408173333527161
"BPD_vs_MDD","PRSice_BPD_Pt_1","PRSice","BPD","1",40,39,-6.1189193493625,-8.84668703585385,2.72776768649135,0.410343326655187
"BPD_vs_MDD","PRSice_MDD_Pt_5e-08","PRSice","MDD","5e-08",40,39,0.0325969442281,-0.0281394463953846,0.0607363906234846,0.155250845520749
"BPD_vs_MDD","PRSice_MDD_Pt_1e-06","PRSice","MDD","1e-06",40,39,0.01265584507025,-0.179076910095641,0.191732755165891,0.422896844597808
"BPD_vs_MDD","PRSice_MDD_Pt_0.0001","PRSice","MDD","0.0001",40,39,0.84529417204,0.405754168169231,0.439540003870769,0.582014401222232
"BPD_vs_MDD","PRSice_MDD_Pt_0.001","PRSice","MDD","0.001",40,39,1.96032792725,1.49738253645897,0.462945390791026,0.419543605501917
"BPD_vs_MDD","PRSice_MDD_Pt_0.01","PRSice","MDD","0.01",40,39,1.650039557835,1.03575058144256,0.614288976392436,0.383594253390185
"BPD_vs_MDD","PRSice_MDD_Pt_0.05","PRSice","MDD","0.05",40,39,0.9691977426325,0.059622279935641,0.909575462696859,0.465821683173168
"BPD_vs_MDD","PRSice_MDD_Pt_0.1","PRSice","MDD","0.1",40,39,0.0525885475,-1.32952354091795,1.38211208841795,0.644961963431578
"BPD_vs_MDD","PRSice_MDD_Pt_0.5","PRSice","MDD","0.5",40,39,-3.097153058,-4.67334767310256,1.57619461510256,0.624965227982597
"BPD_vs_MDD","PRSice_MDD_Pt_1","PRSice","MDD","1",40,39,-3.042144797375,-4.56405529579487,1.52191049841987,0.592164854732845
"BPD_vs_MDD","PRSice_SCZD_Pt_5e-08","PRSice","SCZD","5e-08",40,39,0.00162031208249999,-1.11840280458462,1.12002311666712,0.536610674074166
"BPD_vs_MDD","PRSice_SCZD_Pt_1e-06","PRSice","SCZD","1e-06",40,39,-0.38060883235,-1.60732249181559,1.22671365946559,0.539005369308571
"BPD_vs_MDD","PRSice_SCZD_Pt_0.0001","PRSice","SCZD","0.0001",40,39,-1.8787888680925,-3.32889209950282,1.45010323141032,0.531747568558355
"BPD_vs_MDD","PRSice_SCZD_Pt_0.001","PRSice","SCZD","0.001",40,39,-1.795229469555,-3.71280044939744,1.91757097984244,0.571422457732743
"BPD_vs_MDD","PRSice_SCZD_Pt_0.01","PRSice","SCZD","0.01",40,39,-1.5343268379375,-2.68517596181538,1.15084912387788,0.232243507858297
"BPD_vs_MDD","PRSice_SCZD_Pt_0.05","PRSice","SCZD","0.05",40,39,-5.528709265975,-8.45102216769231,2.92231290171731,0.475172424466611
"BPD_vs_MDD","PRSice_SCZD_Pt_0.1","PRSice","SCZD","0.1",40,39,-11.950451928825,-14.3500236780462,2.39957174922115,0.35947516398447
"BPD_vs_MDD","PRSice_SCZD_Pt_0.5","PRSice","SCZD","0.5",40,39,-13.98977098775,-16.7486970187179,2.75892603096795,0.319821344710258
"BPD_vs_MDD","PRSice_SCZD_Pt_1","PRSice","SCZD","1",40,39,-13.792484921,-16.6136067819487,2.82112186094872,0.322317116071552
